Feature,Importance
IsHTTPS,0.3953762011784338
URLLength,0.11448034437375064
NoOfDegitsInURL,0.09336885670534942
DegitRatioInURL,0.09289643277410439
NoOfSubDomain,0.07240172213786968
LetterRatioInURL,0.05914653088197002
NoOfLettersInURL,0.05074756452001966
DomainLength,0.04587828890373341
SpacialCharRatioInURL,0.03027230062847867
NoOfOtherSpecialCharsInURL,0.029143115648578542
TLDLength,0.011327877083879036
HasSuspiciousKeyword,0.0019812684183687897
NoOfQMarkInURL,0.001301333836187205
NoOfEqualsInURL,0.0008708157026834612
UsesShortener,0.00037900105157413305
ObfuscationRatio,0.0002553742955265682
NoOfObfuscatedChar,9.93551283114538e-05
HasObfuscation,5.82562017102297e-05
NoOfAmpersandInURL,1.3428290133320974e-05
IsDomainIP,1.932239337621617e-06
